query_id,subject_id,per_identity,alignment_length,mismatches,gap_opens,q_start,q_end,s._start,s._end,evalue,bit_score,sequence
WP_084828638.1,WP_084828638.1,100.000,348,0,0,1,348,1,348,0.0,705,100.00
WP_084828638.1,AZA18259.1,94.540,348,19,0,1,348,1,348,0.0,681,99.14
WP_084828638.1,WP_111679482.1,92.529,348,26,0,1,348,1,348,0.0,663,96.84
WP_084828638.1,WP_155214194.1,76.012,346,83,0,1,346,1,346,0.0,549,86.71
WP_084828638.1,WP_155214166.1,76.012,346,83,0,1,346,1,346,0.0,548,86.71
WP_084828638.1,WP_027974641.1,60.641,343,135,0,1,343,1,343,4.05e-150,436,77.26
WP_084828638.1,WP_102169758.1,57.803,346,146,0,1,346,1,346,2.00e-147,429,77.17
WP_084828638.1,WP_044672843.1,59.885,349,138,2,1,348,1,348,3.64e-146,426,75.64
WP_084828638.1,WP_074658880.1,59.312,349,140,2,1,348,1,348,1.02e-145,424,76.50
WP_084828638.1,WP_074560467.1,59.026,349,142,1,1,348,1,349,1.14e-145,424,75.36


